Source Text,Target Text
Send to Lawyer,إرسال إلى المحامي
In Progress,قيد الإنجاز
Completed,منجز
Draft,مسودة
Lawyer,محامي
Comments / Instructions,ملاحظات / تعليمات
Final Document,الوثيقة النهائية
Fulfilment Checklist,قائمة المتطلبات
fulfilment status,حالة التنفيذ
Company Document,وثيقة الشركة
Company document names, أسماء وثائق الشركة
Description, الوصف
Request Lawyer Renewal,طلب تجديد أوراق الشركة  
Document Company Type,نوع مستند الشركة
Employee transfer request,طلب انتقال موظف
A new employee transfer request has been submitted,تم تقديم طلب نقل موظف جديد
Nominated employees,لموظفين المرشحين
Company Document Type,نوع مستند الشركة
Number of years of professional experience,عدد سنوات الخبرة المهنية
Due Date,الموعد النهائي
Assignment,تكليف
Secondment,انتداب
